"trinity_id","gene_symbol","source","source_rank"
"c1002827-g1-i1^sp-Q2KI78-NDP-BOVIN^DAN^sigP","NDP","embedded",2
"c1002848-g1-i1^sp-Q0V9D9-SELR1-XENTR^Sel1","SELR1","embedded",2
"c1002938-g1-i1^sp-Q3SZM6-COXM1-BOVIN^Myb-DNA-bind-5","COXM1","embedded",2
"c1002938-g1-i2^sp-Q3SZM6-COXM1-BOVIN^Cmc1","COXM1","embedded",2
"c1002976-g1-i1^sp-Q8BXR6-PELI3-MOUSE^Pellino","PELI3","embedded",2
"c1003066-g2-i1^sp-P11369-POL2-MOUSE^RVT-1","POL2","embedded",2
"c1003301-g1-i1^sp-P62755-RS6-RAT^Ribosomal-S6e","RS6","embedded",2
"c1003542-g1-i2^sp-Q4R3E0-SUV92-MACFA^Chromo","SUV92","embedded",2
"c1003637-g1-i1^sp-Q8CFD0-SFXN5-RAT^sp-Q925N0-SFXN5-MOUSE^Mtc^Tm5","SFXN5","embedded",2
"c1003792-g1-i1^sp-Q9IMP3-PB2-INCJH^Flu-PB2","PB2","embedded",2
"c1004196-g1-i1^sp-Q685J3-MUC17-HUMAN^SEA^Tm1","MUC17","embedded",2
"c1004206-g1-i1^sp-Q09666-AHNK-HUMAN^PDZ","AHNK","embedded",2
"c1004305-g1-i1^sp-Q8AVU2-UB2SB-XENLA^UQ-con","UB2SB","embedded",2
"c1005097-g4-i1^sp-O87392-GLXD-RHIME^sp-O87391-GLXC-RHIME^GXGXG^Glu-synthase","GLXD","embedded",2
"c1005382-g1-i1^sp-P11369-POL2-MOUSE^RVT-1","POL2","embedded",2
"c1005863-g1-i1^sp-P21328-RTJK-DROME^RVT-1","RTJK","embedded",2
"c1005962-g1-i1^sp-Q9PU36-PCLO-CHICK^sp-Q9Y6V0-PCLO-HUMAN^zf-piccolo","PCLO","embedded",2
"c1005962-g2-i1^sp-Q9PU36-PCLO-CHICK^zf-piccolo","PCLO","embedded",2
"c1006014-g1-i1^sp-Q6NWW5-KIF24-MOUSE^SAM-1","KIF24","embedded",2
"c1006149-g1-i2^sp-P42664-UVS2-XENLA^Astacin^sigP^Tm1","UVS2","embedded",2
"c1006242-g1-i1^sp-Q6AY78-S22AI-RAT^sp-Q96BI1-S22AI-HUMAN^MFS-1^Tm10","S22AI","embedded",2
"c1006312-g1-i2^sp-O13270-TBP-CHICK^sp-Q92117-TBP-PROFL^TBP","TBP","embedded",2
"c1007665-g1-i3^sp-Q8MI05-KLRF1-MACFA^Lectin-C^Tm1","KLRF1","embedded",2
"c1007798-g1-i1^sp-Q640B3-PLD3-XENTR^PLDc-2^Tm1","PLD3","embedded",2
"c1008419-g1-i2^sp-Q6RI86-TRPA1-RAT^sp-Q8BLA8-TRPA1-MOUSE^Ank-2^Tm5","TRPA1","embedded",2
"c1008593-g1-i1^sp-Q9NV58-RN19A-HUMAN^IBR^Tm2","RN19A","embedded",2
"c1008786-g1-i1^sp-P51410-RL9-MOUSE^Ribosomal-L6","RL9","embedded",2
"c1008789-g1-i3^sp-Q5R613-SNX6-PONAB^PX","SNX6","embedded",2
"c1009361-g1-i1^sp-Q2JII9-GLMU-SYNJB^DUF296","GLMU","embedded",2
"c1009411-g2-i1^sp-Q587J6-LITD1-MOUSE^Transposase-22","LITD1","embedded",2
"c1009417-g1-i1^sp-Q587J6-LITD1-MOUSE^Transposase-22","LITD1","embedded",2
"c1009517-g1-i1^sp-P28769-TCPA-ARATH^Cpn60-TCP1","TCPA","embedded",2
"c1009558-g1-i1^sp-Q8AWB6-S35B1-CHICK^sp-P97858-S35B1-MOUSE^UAA^Tm8","S35B1","embedded",2
"c1009713-g1-i1^sp-Q86WI0-LHPL1-HUMAN^L-HGMIC-fpl^sigP^Tm4","LHPL1","embedded",2
"c1009775-g1-i1^sp-Q9Y2B1-TMEM5-HUMAN^Tm1","TMEM5","embedded",2
"c1010041-g1-i1^sp-Q91X49-MALL-MOUSE^MARVEL^Tm4","MALL","embedded",2
"c1010041-g1-i2^sp-Q91X49-MALL-MOUSE^MARVEL^Tm4","MALL","embedded",2
"c1010183-g1-i1^sp-Q7L5N7-PCAT2-HUMAN^Acyltransferase","PCAT2","embedded",2
"c1010373-g1-i1^sp-A4FV08-GNPI1-BOVIN^sp-P46926-GNPI1-HUMAN^Glucosamine-iso","GNPI1","embedded",2
"c1010379-g1-i1^sp-Q4PR21-CCL25-PIG^sp-O15444-CCL25-HUMAN^IL8^sigP","CCL25","embedded",2
"c1010381-g1-i1^sp-O43520-AT8B1-HUMAN^Tm1","AT8B1","embedded",2
"c1010394-g1-i1^sp-Q3T075-STX8-BOVIN^SNARE^Tm1","STX8","embedded",2
"c1010406-g1-i1^sp-O70338-RNH1-MOUSE^Cauli-VI","RNH1","embedded",2
"c1010460-g1-i1^sp-Q96E29-MTER1-HUMAN^mTERF","MTER1","embedded",2
"c1010583-g1-i4^sp-Q60753-CTF1-MOUSE^sp-P83714-CTF2-MOUSE^PRF","CTF1","embedded",2
"c1010630-g1-i1^sp-A1L4L8-PL8L1-HUMAN^PLAC8","PL8L1","embedded",2
"c1010635-g1-i1^sp-P08548-LIN1-NYCCO^sp-P11369-POL2-MOUSE","LIN1","embedded",2
"c1010681-g1-i1^sp-Q9JI35-HRH3-CAVPO^sp-Q9QYN8-HRH3-RAT^7tm-1^Tm6","HRH3","embedded",2
"c1010723-g1-i1^sp-Q03014-HHEX-HUMAN^sp-O13023-HHEX-XENLA^Homeobox","HHEX","embedded",2
"c1010757-g1-i1^sp-A3KNX5-BHA09-DANRE^HLH","BHA09","embedded",2
"c1010812-g2-i1^sp-Q68DI1-ZN776-HUMAN^zf-C2H2","ZN776","embedded",2
"c1010833-g1-i1^sp-P53546-GSCB-XENLA^Homeobox","GSCB","embedded",2
"c1010885-g1-i2^sp-P28682-OPSB-CHICK^7tm-1^Tm5","OPSB","embedded",2
"c1010898-g1-i1^sp-Q09575-YRD6-CAEEL^rve","YRD6","embedded",2
"c1010956-g1-i1^sp-P16423-POLR-DROME^RVT-1","POLR","embedded",2
"c1010984-g2-i1^sp-Q924T8-CLTR1-RAT^7tm-1^Tm6","CLTR1","embedded",2
"c1011023-g1-i2^sp-P08548-LIN1-NYCCO^sp-P11369-POL2-MOUSE","LIN1","embedded",2
"c1011180-g1-i1^sp-Q5T7N2-LITD1-HUMAN^Transposase-22","LITD1","embedded",2
"c1011260-g1-i1^sp-Q96NZ8-WFKN1-HUMAN^WAP^sigP","WFKN1","embedded",2
"c1011260-g1-i2^sp-Q96NZ8-WFKN1-HUMAN^WAP^sigP","WFKN1","embedded",2
"c1011364-g1-i1^sp-O92815-POL-WDSV^RVT-1","POL","embedded",2
"c1011513-g3-i2^sp-Q68EV6-RM28-XENLA^Ribosomal-L28","RM28","embedded",2
"c1011540-g1-i1^sp-Q8C8T7-PPR28-MOUSE^LRR-5^sigP^Tm1","PPR28","embedded",2
"c1011548-g2-i1^sp-Q9BQL6-FERM1-HUMAN^FERM-N","FERM1","embedded",2
"c1011548-g2-i2^sp-Q9BQL6-FERM1-HUMAN^FERM-N","FERM1","embedded",2
"c1011562-g1-i1^sp-P11369-POL2-MOUSE^RVT-1","POL2","embedded",2
"c1011783-g1-i1^sp-Q9Y619-ORNT1-HUMAN^Mito-carr","ORNT1","embedded",2
"c1011908-g2-i1^sp-P31795-POL-MLVRK^rve","POL","embedded",2
"c1011949-g1-i1^sp-Q15041-AR6P1-HUMAN^sp-Q5R454-AR6P1-PONAB^Reticulon^Tm4","AR6P1","embedded",2
"c1011986-g2-i1^sp-Q96DA2-RB39B-HUMAN^Arf","RB39B","embedded",2
"c1011986-g2-i3^sp-Q96DA2-RB39B-HUMAN^Arf","RB39B","embedded",2
"c1011988-g1-i1^sp-Q8NCL9-APCDL-HUMAN^sigP","APCDL","embedded",2
"c1012056-g1-i1^sp-P40220-RABP1-CHICK^Lipocalin","RABP1","embedded",2
"c1012242-g1-i2^sp-Q0P5F9-AL8A1-BOVIN^Aldedh","AL8A1","embedded",2
"c1012315-g1-i1^sp-O75077-ADA23-HUMAN^Pep-M12B-propep^sigP^Tm1","ADA23","embedded",2
"c1012318-g1-i1^sp-P08548-LIN1-NYCCO^RVT-1","LIN1","embedded",2
"c1012474-g1-i1^sp-P08548-LIN1-NYCCO^sp-P11369-POL2-MOUSE^Exo-endo-phos^Tm2","LIN1","embedded",2
"c1012547-g1-i1^sp-Q9UF02-CCG5-HUMAN^PMP22-Claudin^Tm4","CCG5","embedded",2
"c1012547-g1-i2^sp-Q9UF02-CCG5-HUMAN^PMP22-Claudin^Tm4","CCG5","embedded",2
"c1012548-g1-i2^sp-Q63ZL3-HRG1A-XENLA^Tm4","HRG1A","embedded",2
"c1012634-g1-i1^sp-Q8N144-CXD3-HUMAN^sp-Q91YD1-CXD3-MOUSE^Connexin^Tm4","CXD3","embedded",2
"c1012726-g1-i1^sp-Q5T1A1-DCST2-HUMAN^DC-STAMP^Tm6","DCST2","embedded",2
"c1012949-g1-i1^sp-Q6ITQ4-PDZ1I-PIG^sigP^Tm2","PDZ1I","embedded",2
"c1012977-g1-i1^sp-P11369-POL2-MOUSE^sp-P08548-LIN1-NYCCO^RVT-1","POL2","embedded",2
"c1012990-g1-i1^sp-P11369-POL2-MOUSE^sp-P11260-TR22-MOUSE^Exo-endo-phos^Transposase-22^sigP","POL2","embedded",2
"c1013234-g1-i1^sp-Q6NXT4-ZNT6-HUMAN^Cation-efflux^Tm3","ZNT6","embedded",2
"c1013303-g2-i1^sp-Q9UGM5-FETUB-HUMAN^sp-Q9QXC1-FETUB-MOUSE^Cystatin^sigP","FETUB","embedded",2
"c1013311-g1-i1^sp-Q1KMD3-HNRL2-HUMAN^SPRY","HNRL2","embedded",2
"c1013443-g1-i2^sp-Q99680-GPR22-HUMAN^7tm-1^Tm7","GPR22","embedded",2
"c1013474-g1-i1^sp-Q8TDQ1-CLM1-HUMAN^sp-A2TGX5-CLM8-RAT^V-set","CLM1","embedded",2
"c1013686-g1-i1^sp-Q861W5-TNFL6-FELCA^TNF^Tm1","TNFL6","embedded",2
"c1013830-g1-i1^sp-Q9ULS6-KCNS2-HUMAN^Ion-trans^Tm3","KCNS2","embedded",2
"c1013892-g1-i1^sp-P57775-FBXW4-HUMAN^sp-Q9JMJ2-FBXW4-MOUSE^F-box","FBXW4","embedded",2
"c1013984-g1-i1^sp-P48549-IRK3-HUMAN^IRK^Tm1","IRK3","embedded",2
"c1014000-g1-i2^sp-Q9UPM6-LHX6-HUMAN^LIM","LHX6","embedded",2
"c1014030-g1-i1^sp-Q58EE9-GFAP-DANRE^Filament-head","GFAP","embedded",2
"c1014119-g1-i1^sp-Q5FW38-NFIL3-XENTR^sp-Q90Z72-NFIL3-CHICK^bZIP-2","NFIL3","embedded",2
"c1014231-g1-i1^sp-O70370-CATS-MOUSE^Inhibitor-I29","CATS","embedded",2
"c1014361-g1-i1^sp-Q7TN75-PEG10-MOUSE^sp-Q52QI2-RTL1-BOVIN^Retrotrans-gag","PEG10","embedded",2
"c1014405-g1-i2^sp-Q95SX7-RTBS-DROME^sp-P16423-POLR-DROME^RVT-1","RTBS","embedded",2
"c1014470-g1-i2^sp-Q8QZX0-SBK1-MOUSE^Pkinase","SBK1","embedded",2
"c1014574-g1-i1^sp-A6MM35-PSAB-BUXMI^sp-P06407-PSAB-TOBAC^PsaA-PsaB^Tm11","PSAB","embedded",2
"c1014607-g1-i2^sp-Q8WXG9-GPR98-HUMAN^Tm2","GPR98","embedded",2
"c1014607-g1-i3^sp-Q8WXG9-GPR98-HUMAN^7tm-2^Tm5","GPR98","embedded",2
"c1014798-g1-i1^sp-Q24K15-ANGP4-BOVIN^Fibrinogen-C^sigP^Tm1","ANGP4","embedded",2
"c1014914-g1-i1^sp-Q9BRQ0-PYGO2-HUMAN^PHD","PYGO2","embedded",2
"c1014914-g1-i2^sp-Q9BRQ0-PYGO2-HUMAN^PHD","PYGO2","embedded",2
"c1014937-g2-i1^sp-O62806-MMP13-RABIT^PG-binding-1^sigP","MMP13","embedded",2
"c1014937-g2-i3^sp-O62806-MMP13-RABIT^Peptidase-M10","MMP13","embedded",2
"c1015054-g1-i1^sp-P53597-SUCA-HUMAN^sp-Q8GTQ9-SUCA1-SOLLC^CoA-binding","SUCA","embedded",2
"c1015076-g1-i1^sp-Q9UIH9-KLF15-HUMAN^sp-Q9EPW2-KLF15-MOUSE","KLF15","embedded",2
"c1015150-g2-i1^sp-A5GFW1-AURKA-PIG^Pkinase","AURKA","embedded",2
"c1015251-g1-i1^sp-Q5R9Q3-GPM6A-PONAB^Myelin-PLP^Tm4","GPM6A","embedded",2
"c1015563-g1-i1^sp-Q5E9Y2-STX17-BOVIN^sp-P56962-STX17-HUMAN^Tm2","STX17","embedded",2
"c1015640-g1-i1^sp-Q68FR2-BIN2-RAT^sp-Q9UBW5-BIN2-HUMAN^BAR","BIN2","embedded",2
"c1015640-g1-i2^sp-Q68FR2-BIN2-RAT^sp-Q9UBW5-BIN2-HUMAN^BAR","BIN2","embedded",2
"c1015794-g1-i1^sp-Q86UP9-LHPL3-HUMAN^L-HGMIC-fpl^Tm3","LHPL3","embedded",2
"c1015824-g2-i2^sp-Q8IYR6-TEFF1-HUMAN^Kazal-1^sigP^Tm1","TEFF1","embedded",2
"c1015866-g1-i1^sp-Q99N95-RM03-MOUSE^Ribosomal-L3^sigP","RM03","embedded",2
"c1015866-g1-i2^sp-Q99N95-RM03-MOUSE^Ribosomal-L3^sigP","RM03","embedded",2
"c1015886-g1-i1^sp-Q96M94-KLH15-HUMAN^BTB","KLH15","embedded",2
"c1015939-g1-i1^sp-Q7ZY08-UBE2T-XENLA^sp-Q9NPD8-UBE2T-HUMAN^UQ-con","UBE2T","embedded",2
"c1015984-g3-i1^sp-P08548-LIN1-NYCCO^RVT-1","LIN1","embedded",2
"c1016020-g1-i1^sp-Q00532-CDKL1-HUMAN^sp-Q66HE7-CDKL1-RAT^Pkinase","CDKL1","embedded",2
"c1016020-g1-i2^sp-Q00532-CDKL1-HUMAN^sp-Q66HE7-CDKL1-RAT","CDKL1","embedded",2
"c1016020-g1-i4^sp-Q00532-CDKL1-HUMAN^Pkinase","CDKL1","embedded",2
"c1016040-g1-i2^sp-P49616-UPAR-RAT^Activin-recp^sigP","UPAR","embedded",2
"c1016057-g1-i1^sp-Q0IIH7-ST14-BOVIN^Ldl-recept-a","ST14","embedded",2
"c1016147-g1-i1^sp-Q6F7L8-SYGB-ACIAD^tRNA-synt-2f","SYGB","embedded",2
"c1016187-g1-i1^sp-Q00915-RET1-MOUSE^Lipocalin","RET1","embedded",2
"c1016194-g2-i1^sp-Q6PF54-C2D1B-XENLA^C2","C2D1B","embedded",2
"c1016414-g4-i1^sp-P09642-TBA3-CHICK^Tubulin-C","TBA3","embedded",2
"c1016473-g1-i2^sp-A4QP81-FRRS1-DANRE^Reeler^Tm6","FRRS1","embedded",2
"c1016516-g2-i1^sp-Q64287-IRF4-MOUSE^IRF","IRF4","embedded",2
"c1016519-g1-i1^sp-P62198-PRS8-RAT^AAA-5","PRS8","embedded",2
"c1016543-g1-i1^sp-Q6DDW2-K132L-XENLA^sp-Q3UZV7-K132L-MOUSE^GCC2-GCC3^Tm1","K132L","embedded",2
"c1016547-g1-i1^sp-Q7Z6M2-FBX33-HUMAN^F-box-like","FBX33","embedded",2
"c1016753-g2-i2^sp-Q9UL16-CCD19-HUMAN^Trichoplein","CCD19","embedded",2
"c1016830-g1-i1^sp-Q6P1B3-PIANP-MOUSE^Tm1","PIANP","embedded",2
"c1016860-g1-i2^sp-P30082-GLR-RAT^sp-Q61606-GLR-MOUSE^7tm-2^Tm3","GLR","embedded",2
"c1016877-g1-i1^sp-Q5T7N2-LITD1-HUMAN^Transposase-22","LITD1","embedded",2
"c1017065-g1-i1^sp-Q13884-SNTB1-HUMAN^PDZ","SNTB1","embedded",2
"c1017066-g1-i1^sp-Q7TQD2-TPPP-MOUSE^p25-alpha","TPPP","embedded",2
"c1017121-g2-i1^sp-Q96QF0-RAB3I-HUMAN^Sec2p","RAB3I","embedded",2
"c1017163-g1-i1^sp-Q7Z404-TMC4-HUMAN^sp-Q4R7U0-TMC7-MACFA^sp-Q5YCC5-TMC7-CHICK^TMC^Tm6","TMC4","embedded",2
"c1017163-g1-i2^sp-Q4R7U0-TMC7-MACFA^sp-Q5YCC5-TMC7-CHICK^TMC^Tm9","TMC7","embedded",2
"c1017262-g1-i2^sp-Q5R7N3-CLPX-PONAB^sp-O76031-CLPX-HUMAN^ClpB-D2-small","CLPX","embedded",2
"c1017327-g1-i1^sp-Q9JHE6-HES6-MOUSE^HLH","HES6","embedded",2
"c1017327-g1-i2^sp-Q9JHE6-HES6-MOUSE^sp-Q96HZ4-HES6-HUMAN^Hairy-orange","HES6","embedded",2
"c1017368-g1-i1^sp-P11369-POL2-MOUSE^sp-P08548-LIN1-NYCCO^RVT-1","POL2","embedded",2
"c1017544-g1-i1^sp-Q86XT2-VP37D-HUMAN^sp-Q810I0-VP37D-MOUSE^Mod-r^Tm1","VP37D","embedded",2
"c1017686-g1-i1^sp-P24271-RAG1-CHICK^zf-C3HC4","RAG1","embedded",2
"c1017705-g1-i1^sp-Q6P2Y2-WDR69-XENTR^WD40","WDR69","embedded",2
"c1017865-g1-i1^sp-O88851-RBBP9-MOUSE^sp-O75884-RBBP9-HUMAN^Ser-hydrolase","RBBP9","embedded",2
"c1017865-g1-i2^sp-O88851-RBBP9-MOUSE^sp-O75884-RBBP9-HUMAN^Ser-hydrolase","RBBP9","embedded",2
"c1017866-g1-i1^sp-Q0VCA0-FGF18-BOVIN^sp-O89101-FGF18-MOUSE^FGF^sigP","FGF18","embedded",2
"c1018095-g1-i1^sp-O15069-NACAD-HUMAN^NAC","NACAD","embedded",2
"c1018256-g1-i1^sp-P08548-LIN1-NYCCO^RVT-1","LIN1","embedded",2
"c1018295-g2-i2^sp-Q9UIJ5-ZDHC2-HUMAN^zf-DHHC^Tm2","ZDHC2","embedded",2
"c1018580-g1-i1^sp-Q4R6W9-SNPC1-MACFA^SNAPc-SNAP43","SNPC1","embedded",2
"c1018610-g1-i1^sp-Q01065-PDE1B-MOUSE^sp-Q01066-PDE1B-RAT^PDEase-I","PDE1B","embedded",2
"c1018799-g1-i1^sp-Q9NR45-SIAS-HUMAN^NeuB","SIAS","embedded",2
"c1018804-g1-i1^sp-Q6IQ22-RAB12-HUMAN^Ras","RAB12","embedded",2
"c1018970-g1-i1^sp-Q95SX7-RTBS-DROME^RVT-1","RTBS","embedded",2
"c1018978-g1-i1^sp-Q9H4K1-RIBC2-HUMAN^RIB43A","RIBC2","embedded",2
"c1018978-g1-i2^sp-Q9H4K1-RIBC2-HUMAN^RIB43A","RIBC2","embedded",2
"c1018978-g1-i3^sp-Q9H4K1-RIBC2-HUMAN^RIB43A","RIBC2","embedded",2
"c1019298-g1-i1^sp-Q9D5E4-LRC48-MOUSE^LRR-8^sigP","LRC48","embedded",2
"c1019422-g1-i1^sp-A4QNE6-WDR92-XENTR^WD40","WDR92","embedded",2
"c1019458-g1-i1^sp-Q07212-THY1-CHICK^sigP","THY1","embedded",2
"c1019496-g1-i1^sp-P08548-LIN1-NYCCO^sp-P11369-POL2-MOUSE^RVT-1","LIN1","embedded",2
"c1019523-g1-i1^sp-P62972-UBIQP-XENLA^sp-P0CG51-UBB-RAT^ubiquitin","UBIQP","embedded",2
"c1019644-g3-i2^sp-Q09575-YRD6-CAEEL^rve","YRD6","embedded",2
"c1019732-g1-i1^sp-Q5EA83-DCHS-BOVIN^Pyridoxal-deC","DCHS","embedded",2
"c1019762-g1-i1^sp-Q8N9V3-WSDU1-HUMAN^WD40","WSDU1","embedded",2
"c1019762-g1-i2^sp-Q8N9V3-WSDU1-HUMAN^WD40","WSDU1","embedded",2
"c1019773-g3-i1^sp-Q08881-ITK-HUMAN^PH","ITK","embedded",2
"c1019776-g1-i1^sp-Q5XGY1-TSR1-XENLA^AARP2CN","TSR1","embedded",2
"c1019776-g1-i2^sp-Q5XGY1-TSR1-XENLA^AARP2CN","TSR1","embedded",2
"c1019856-g1-i1^sp-P18088-DCE1-RAT^Pyridoxal-deC","DCE1","embedded",2
"c1019863-g1-i1^sp-Q5FWS4-FA26E-RAT^sigP^Tm4","FA26E","embedded",2
"c1019874-g1-i1^sp-Q91685-MIX2-XENLA^Homeobox","MIX2","embedded",2
"c1019926-g1-i1^sp-Q96DM1-PGBD4-HUMAN^DDE-Tnp-1-7","PGBD4","embedded",2
"c1020011-g1-i1^sp-A6NM11-L37A2-HUMAN^sp-A6NMS7-L37A1-HUMAN^LRR-8^Tm1","L37A2","embedded",2
"c1020014-g1-i1^sp-Q71RS6-NCKX5-HUMAN^Na-Ca-ex^sigP^Tm12","NCKX5","embedded",2
"c1020021-g1-i2^sp-P35479-CPI1-PIG^Cystatin","CPI1","embedded",2
"c1020069-g1-i1^sp-P08697-A2AP-HUMAN^Serpin^sigP","A2AP","embedded",2
"c1020102-g1-i1^sp-P63138-GBRB2-RAT^sp-P0C2W5-GBRB2-BOVIN^Neur-chan-memb^Tm4","GBRB2","embedded",2
"c1020131-g1-i1^sp-Q96GN5-CDA7L-HUMAN^sp-Q4G059-CDA7L-RAT^zf-4CXXC-R1","CDA7L","embedded",2
"c1020480-g1-i2^sp-Q80U58-PUM2-MOUSE^sp-Q8TB72-PUM2-HUMAN^PUF","PUM2","embedded",2
"c1020550-g1-i1^sp-Q587J6-LITD1-MOUSE^Transposase-22","LITD1","embedded",2
"c1020664-g1-i1^sp-Q13219-PAPP1-HUMAN^sp-Q9NBX4-RTXE-DROME^Peptidase-M43^RVT-1","PAPP1","embedded",2
"c1020764-g1-i2^sp-Q96GY3-LIN37-HUMAN^sp-Q9D8N6-LIN37-MOUSE","LIN37","embedded",2
"c1020768-g1-i2^sp-Q9H2S6-TNMD-HUMAN^BRICHOS^Tm1","TNMD","embedded",2
"c1020785-g1-i2^sp-Q6U736-OPN5-HUMAN^sp-Q6VZZ7-OPN5-MOUSE^7tm-1^Tm2","OPN5","embedded",2
"c1020833-g1-i1^sp-P47751-BRS4-BOMOR^7TM-GPCR-Srsx^Tm7","BRS4","embedded",2
"c1020875-g2-i1^sp-P10785-HBB1-TRICR^Globin","HBB1","embedded",2
"c1020877-g1-i1^sp-Q5T0W9-FA83B-HUMAN^DUF1669","FA83B","embedded",2
"c1020888-g1-i1^sp-Q9H9L4-KANL2-HUMAN^zf-C3Hc3H","KANL2","embedded",2
"c1020945-g1-i1^sp-O14967-CLGN-HUMAN^sp-Q3SYT6-CLGN-BOVIN^Tm1","CLGN","embedded",2
"c1020951-g1-i2^sp-Q9CYZ6-CS060-MOUSE^sp-Q17Q97-CS060-BOVIN","CS060","embedded",2
"c1021450-g1-i1^sp-Q15375-EPHA7-HUMAN^Ephrin-lbd","EPHA7","embedded",2
"c1021506-g1-i1^sp-Q08D11-PTSS2-XENTR^PSS^Tm7","PTSS2","embedded",2
"c1021506-g1-i2^sp-Q08D11-PTSS2-XENTR^PSS^Tm4","PTSS2","embedded",2
"c1021560-g1-i1^sp-Q96JQ5-M4A4A-HUMAN^CD20^Tm4","M4A4A","embedded",2
"c1021581-g1-i1^sp-O60496-DOK2-HUMAN^PH","DOK2","embedded",2
"c1021639-g1-i1^sp-P79774-SNAT-CHICK^Acetyltransf-7","SNAT","embedded",2
"c1021661-g1-i1^sp-A0JNI4-SRR-BOVIN^PALP","SRR","embedded",2
"c1021677-g1-i1^sp-P21329-RTJK-DROFU^RVT-1","RTJK","embedded",2
"c1021677-g1-i2^sp-P21329-RTJK-DROFU^RVT-1","RTJK","embedded",2
"c1021691-g1-i1^sp-P11369-POL2-MOUSE^RVT-1","POL2","embedded",2
"c1021720-g1-i2^sp-Q6IE77-NEIL2-BOVIN^Fapy-DNA-glyco","NEIL2","embedded",2
"c1021761-g2-i1^sp-P10394-POL4-DROME^RVT-1","POL4","embedded",2
"c1021778-g1-i1^sp-P49581-ACHA6-CHICK^Neur-chan-LBD^Tm4","ACHA6","embedded",2
"c1021855-g2-i1^sp-P51955-NEK2-HUMAN^Pkinase","NEK2","embedded",2
"c1021870-g1-i3^sp-P08548-LIN1-NYCCO^RVT-1","LIN1","embedded",2
